file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
_release_staging/CapsuleWardrobeRAG/tools/project_sanity_check.py,http_get,function,25,33,9,3,1,2,False
_release_staging/CapsuleWardrobeRAG/tools/project_sanity_check.py,main,function,36,88,53,9,2,0,False
_release_staging/CapsuleWardrobeRAG/tools/runs_report.py,_fmt,function,13,19,7,3,1,2,False
_release_staging/CapsuleWardrobeRAG/tools/runs_report.py,main,function,22,85,64,7,3,0,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,_find_repo_root,function,14,22,9,4,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,_is_probably_binary,function,128,129,2,1,0,1,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,_should_skip_path,function,132,139,8,5,2,1,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,scan_text,function,142,178,37,16,4,2,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,_display_path,function,181,189,9,2,1,2,True
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,scan_file,function,192,218,27,7,2,3,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,scan_paths,function,221,227,7,4,2,3,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,_git_list_files,function,230,248,19,8,2,2,False
_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py,main,function,251,284,34,8,2,1,False
src/api_v2.py,_request_id,function,34,35,2,2,0,1,False
src/api_v2.py,_detail,function,38,45,8,1,0,4,False
src/api_v2.py,_raise,function,48,49,2,1,0,4,False
src/api_v2.py,_is_db_locked,function,52,56,5,4,1,1,False
src/api_v2.py,_handle_db_exc,function,59,71,13,2,1,4,False
src/api_v2.py,_require_valid_user,function,74,76,3,2,1,2,False
src/api_v2.py,_normalize_context,function,79,83,5,3,1,1,False
src/api_v2.py,_validate_context,function,86,92,7,3,1,2,False
src/api_v2.py,init_ontology,function,99,148,50,9,2,0,True
src/api_v2.py,require_api_key,function,155,168,14,7,1,2,False
src/api_v2.py,db_conn,function,171,175,5,1,0,0,False
src/api_v2.py,_slugify,function,178,191,14,2,0,1,False
src/api_v2.py,_safe_under,function,194,203,10,3,2,2,False
src/api_v2.py,_decode_image_base64,function,206,215,10,4,2,1,False
